FACILITY_NAME,COUNTY,LATITUDE,LONGITUDE,Distance_to_Water_m,Risk_Category
AERO-ELECTRIC CONNECTOR INC.,LOS ANGELES,33.843,-118.32349,3382.847501612465,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
EVONIK CORP,LOS ANGELES,34.01272,-118.21293,620.160297791561,Low Risk (>500m)
ANLIN INDUSTRIES,FRESNO,36.83225,-119.68285,564.0846492119397,Low Risk (>500m)
CHEMELEX LLC,SAN MATEO,37.48433,-122.2083,1085.7156571751086,Low Risk (>500m)
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,SOLANO,38.074434,-122.144397,755.9604036794849,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,LOS ANGELES,33.765027,-118.277561,2719.6069019299584,Low Risk (>500m)
GLADDING MCBEAN,PLACER,38.89447,-121.291594,2034.1053199386988,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
TESORO EAST HYNES TERMINAL,LOS ANGELES,33.862483,-118.159907,3096.0908503585233,Low Risk (>500m)
MARTINEZ REFINING CO LLC,CONTRA COSTA,38.016594,-122.115392,1021.6945087771685,Low Risk (>500m)
NATIONAL READY MIX CONCRETE CO .,ORANGE,33.69449,-117.82121,151.50994919086327,Medium Risk (101-500m)
ASSOCIATED READY MIXED CONCRETE INC.,ORANGE,33.67977,-117.67817,175.12195604752657,Medium Risk (101-500m)
WILBUR-ELLIS CO RNA,FRESNO,36.61015,-120.1948,2346.614800523067,Low Risk (>500m)
PETRODIAMOND TERMINAL CO,LOS ANGELES,33.7762,-118.2141,807.8787952822066,Low Risk (>500m)
ENGINEERED POLYMER SOLUTIONS INC,LOS ANGELES,33.987111,-118.165944,512.3546529145447,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
CLEAN HARBORS BUTTONWILLOW LLC,KERN,35.401811,-119.612789,2016.028722336853,Low Risk (>500m)
CSL OPERATING LLC,SANTA CLARA,37.38537,-121.94512,715.5541679662749,Low Risk (>500m)
TESORO - VINVALE TERMINAL,LOS ANGELES,33.95277,-118.16408,469.7648240063036,Medium Risk (101-500m)
DEMENNOKERDOON DBA WORLD OIL RECYCLING,LOS ANGELES,33.910116,-118.221906,1968.8050423305497,Low Risk (>500m)
CEMEX CONSTRUCTION MATERIALS PACIFIC LLC,SAN BERNARDINO,34.5534,-117.3031,512.1751780156892,Low Risk (>500m)
SIERRA ALUMINUM CO PLANT II,SAN BERNARDINO,34.03888,-117.51828,2287.5118577911558,Low Risk (>500m)
KDC ONE / COSMETIC LABORATORIES OF AMERICA INC,LOS ANGELES,34.23457,-118.57493,970.8652446068182,Low Risk (>500m)
CHEVRON RICHMOND TECHNOLOGY CENTER,CONTRA COSTA,37.93047,-122.38944,2458.9599075324386,Low Risk (>500m)
GRISWOLD INDUSTRIES,ORANGE,33.63631,-117.9319,2160.7554066024486,Low Risk (>500m)
US ECOLOGY VERNON INC.,LOS ANGELES,33.994033,-118.215406,1447.4431834529357,Low Risk (>500m)
EQUILON CARSON TERMINAL,LOS ANGELES,33.83937,-118.23673,1715.5587024757026,Low Risk (>500m)
OLDCASTLE INFRASTRUCTURE INC.,MADERA,36.94537,-120.07403,1176.5642533791734,Low Risk (>500m)
CHEVRON PRODUCTS CO RICHMOND REFINERY,CONTRA COSTA,37.938779,-122.396453,1721.6142148528543,Low Risk (>500m)
ULTRAMAR INC. MARINE TERMINAL,LOS ANGELES,33.75828,-118.26676,2220.3923552034494,Low Risk (>500m)
STREMICKS HERITAGE FOODS,RIVERSIDE,33.91473,-117.49819,1339.7918248840888,Low Risk (>500m)
VALERO WILMINGTON ASPHALT PLANT,LOS ANGELES,33.79698,-118.23876,914.487203157154,Low Risk (>500m)
CYTEC SOLVAY COMPOSITE MATERIALS ORANGE,ORANGE,33.79776,-117.85582,1973.6594679172144,Low Risk (>500m)
VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,LOS ANGELES,34.12103,-117.9367,1547.6153861298853,Low Risk (>500m)
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,SOLANO,38.074434,-122.144397,755.9604036794849,Low Risk (>500m)
NEW-INDY CONTAINERBOARD ONTARIO LLC,SAN BERNARDINO,34.04807,-117.5382,344.3038019730085,Medium Risk (101-500m)
LMC ENTERPRISES DBA FLO-KEM DBA CHEMCO PRODUCTS CO,LOS ANGELES,33.854655,-118.206439,387.8186491370492,Medium Risk (101-500m)
TESORO - COLTON TERMINAL,SAN BERNARDINO,34.058134,-117.37024,1562.6652258175482,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
PETRODIAMOND TERMINAL CO,LOS ANGELES,33.7762,-118.2141,807.8787952822066,Low Risk (>500m)
DANCO EN,SAN BERNARDINO,34.03313,-117.61344,1351.6188175161174,Low Risk (>500m)
TESORO - STOCKTON TERMINAL,SAN JOAQUIN,37.942247,-121.334689,410.6881665006122,Medium Risk (101-500m)
US BATTERY MFG CO,RIVERSIDE,33.87882,-117.53458,868.5664280568654,Low Risk (>500m)
US NAVAL SUBMARINE BASE SAN DIEGO,SAN DIEGO,32.686011,-117.239742,8601.93634981608,Low Risk (>500m)
LUNDAY-THAGARD CO DBA WORLD OIL REFINING,LOS ANGELES,33.946295,-118.16704,281.7340253785252,Medium Risk (101-500m)
ULTRAMAR INC WILMINGTON REFINERY,LOS ANGELES,33.780556,-118.235833,202.59590040285778,Medium Risk (101-500m)
RALPHS GROCERY CO-RIVERSIDE DISTRIBUTION,RIVERSIDE,33.93122,-117.30513,2100.7636365463723,Low Risk (>500m)
CHEVRON PRODUCTS CO RICHMOND REFINERY,CONTRA COSTA,37.938779,-122.396453,1721.6142148528543,Low Risk (>500m)
BAKERSFIELD RENEWABLE FUELS LLC - AREAS 1 & 2,KERN,35.3825,-119.070556,302.2580748199953,Medium Risk (101-500m)
CBC STEEL BUILDINGS,SAN JOAQUIN,37.81185,-121.27235,3648.621299380197,Low Risk (>500m)
INTEL CORP SC1/2,SANTA CLARA,37.37704,-121.97766,797.7797823658003,Low Risk (>500m)
EXCELSIOR INC.,FRESNO,36.774183,-119.685539,1031.6741777047991,Low Risk (>500m)
ADVANCED MICRO INSTRUMENTS INC,ORANGE,33.680725,-117.875317,1671.7519715499927,Low Risk (>500m)
ALL AMERICAN ASPHALT,RIVERSIDE,33.856997,-117.23485,1865.2957559505053,Low Risk (>500m)
NORTH HOLLYWOOD PLANT 22,LOS ANGELES,34.20555,-118.41883,753.3209521286144,Low Risk (>500m)
QUALITEK INC (DBA WESTAK),SANTA CLARA,37.40743,-121.99203,484.4549620375456,Medium Risk (101-500m)
CLEAN HARBORS WILMINGTON LLC,LOS ANGELES,33.786133,-118.239923,433.8495146576902,Medium Risk (101-500m)
SHELL CHEMICAL LP - MARTINEZ CATALYST PLANT,CONTRA COSTA,38.025771,-122.11613,1855.7765806662628,Low Risk (>500m)
US DOD USAF VANDENBERG AFB,SANTA BARBARA,34.73249,-120.57044,4540.494855839384,Low Risk (>500m)
QUIKRETE - PORTERVILLE CA PLANT,TULARE,36.050201,-118.935931,132.50190974835354,Medium Risk (101-500m)
KAGA (U.S.A.) INC.,ORANGE,33.71133,-117.91276,245.17379352420784,Medium Risk (101-500m)
CUSTOM ALLOY SALES INC.,LOS ANGELES,34.057,-117.988,590.35162971495,Low Risk (>500m)
ALLFAST FASTENING SYSTEMS LLC,LOS ANGELES,34.02141,-117.96943,156.35271273291318,Medium Risk (101-500m)
CHEVRON RICHMOND TECHNOLOGY CENTER,CONTRA COSTA,37.93047,-122.38944,2458.9599075324386,Low Risk (>500m)
J R SIMPLOT CO LATHROP,SAN JOAQUIN,37.807058,-121.277465,2992.355780495527,Low Risk (>500m)
SGL TECHNIC INC POLYCARBON DI V,LOS ANGELES,34.4356,-118.59042,443.2445117144167,Medium Risk (101-500m)
AIR PRODUCTS MANUFACTURING LLC,LOS ANGELES,33.899538,-118.15141,2778.807922888337,Low Risk (>500m)
PACIFIC STATES TREATING,SISKIYOU,41.4364,-122.3707,212.86056161852684,Medium Risk (101-500m)
BERG LACQUER CO,LOS ANGELES,34.017443,-118.212607,982.5055682880832,Low Risk (>500m)
TESORO LONG BEACH TERMINAL,LOS ANGELES,33.772696,-118.224004,1588.8533626314909,Low Risk (>500m)
ALUMINUM PRECISION PRODUCTS INC,ORANGE,33.71343,-117.91278,243.94118395322957,Medium Risk (101-500m)
LAIRD COATINGS CORP,ORANGE,33.73635,-118.03118,621.2268748492503,Low Risk (>500m)
US DOD USAF VANDENBERG AFB,SANTA BARBARA,34.73249,-120.57044,4540.494855839384,Low Risk (>500m)
VALLEY SYNCOM CIRCUITS INC.,LOS ANGELES,34.432815,-118.567822,781.3426082004975,Low Risk (>500m)
FLYERS #3015,SAN BERNARDINO,34.06223,-117.38168,2677.575569454782,Low Risk (>500m)
UNIVAR SOLUTIONS USA INC.,LOS ANGELES,33.9925,-118.133056,1884.4262544346036,Low Risk (>500m)
MECS INC.,CONTRA COSTA,38.02342,-122.053723,356.57433644174193,Medium Risk (101-500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
GENERAL DYNAMICS (NASSCO),SAN DIEGO,32.69109,-117.1337,601.1309280344768,Low Risk (>500m)
QUIKRETE - CORONA CA PLANT,RIVERSIDE,33.821149,-117.509703,136.79664977282678,Medium Risk (101-500m)
AEROSPACE DYNAMICS INTERNATIONAL INC.,LOS ANGELES,34.43398,-118.58331,874.1871629511348,Low Risk (>500m)
RIALTO PLANT 24,SAN BERNARDINO,34.147153,-117.416432,2862.9217447119827,Low Risk (>500m)
ULTRAMAR INC WILMINGTON REFINERY,LOS ANGELES,33.780556,-118.235833,202.59590040285778,Medium Risk (101-500m)
TORRANCE REFINING CO LLC,LOS ANGELES,33.85828,-118.3369,2566.207435112675,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
TESORO MARINE TERMINAL 2,LOS ANGELES,33.777711,-118.209574,388.3846697210688,Medium Risk (101-500m)
AGILENT TECHNOLOGIES INC,SANTA CLARA,37.322731,-121.997002,105.47582643915096,Medium Risk (101-500m)
SUMMIT INTERCONNECT INC. ORANGE,ORANGE,33.82697,-117.85456,1049.5124617139243,Low Risk (>500m)
ALLFAST FASTENING SYSTEMS LLC,LOS ANGELES,34.02141,-117.96943,156.35271273291318,Medium Risk (101-500m)
AIR PRODUCTS & CHEMICALS INC.,LOS ANGELES,33.780833,-118.241111,238.36466400605087,Medium Risk (101-500m)
SOUTHERN COUNTIES OIL CO. LP D.B.A. SC FUELS,VENTURA,34.24885,-119.16044,1332.2531884035009,Low Risk (>500m)
TROPICANA PRODUCTS INC,LOS ANGELES,34.037778,-117.976111,1025.0822129429537,Low Risk (>500m)
HUSSMANN CORP,SAN BERNARDINO,34.003165,-117.706579,1634.8533263439156,Low Risk (>500m)
SAN JOAQUIN REFINING CO INC,KERN,35.39511,-119.04652,405.07921885241575,Medium Risk (101-500m)
W. R. GRACE,SAN BERNARDINO,34.43406,-117.28163,3681.8148322652637,Low Risk (>500m)
H. C. MUDDOX,SACRAMENTO,38.53349,-121.33494,863.2465385930333,Low Risk (>500m)
BASALITE,SOLANO,38.46204,-121.81325,1307.4919819178367,Low Risk (>500m)
PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT,LOS ANGELES,33.808333,-118.245833,1088.3033078561125,Low Risk (>500m)
CUSTOM CHEMICAL FORMULATORS INC,LOS ANGELES,33.963802,-118.080079,715.4078346457992,Low Risk (>500m)
THE JANKOVICH CO PARAMOUNT FIXED FACILITY,LOS ANGELES,33.90574,-118.16889,1023.1335635264246,Low Risk (>500m)
CALIFORNIA STEEL INDUSTRIES INC.,SAN BERNARDINO,34.07737,-117.499688,1378.6574646562237,Low Risk (>500m)
ALLOY PROCESSING,LOS ANGELES,33.87551,-118.24713,2154.4017461204858,Low Risk (>500m)
STEPAN CO,ORANGE,33.84925,-117.9154,271.6328388894464,Medium Risk (101-500m)
MARTINEZ REFINING CO LLC,CONTRA COSTA,38.016594,-122.115392,1021.6945087771685,Low Risk (>500m)
OLDCASTLE PRECAST INC,SANTA CLARA,37.16724,-121.68908,706.9459413527973,Low Risk (>500m)
WESTLAKE ROYAL ROOFING - OCEANSIDE,SAN DIEGO,33.200278,-117.333915,42.50907595508127,High Risk (<100m)
PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT,LOS ANGELES,33.808333,-118.245833,1088.3033078561125,Low Risk (>500m)
CALPORTLAND EXETER RMC,TULARE,36.303887,-119.153641,2612.740180926316,Low Risk (>500m)
AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,CONTRA COSTA,38.047952,-122.256895,1363.435080928728,Low Risk (>500m)
DYNATECT RO-LAB INC.,SAN JOAQUIN,37.69591,-121.41356,1601.874271857272,Low Risk (>500m)
ALUMINUM PRECISION PRODUCTS INC.,VENTURA,34.141448,-119.168534,7351.643812062618,Low Risk (>500m)
ILLUMINA,SAN DIEGO,32.8701,-117.2,1136.0384966029246,Low Risk (>500m)
AGILENT TECHNOLOGIES INC,SACRAMENTO,38.652835,-121.186949,329.0331928521279,Medium Risk (101-500m)
PAC FOUNDRIES-INDUSTRY,LOS ANGELES,34.00765,-117.93885,71.54053080481017,High Risk (<100m)
TESORO - VINVALE TERMINAL,LOS ANGELES,33.95277,-118.16408,469.7648240063036,Medium Risk (101-500m)
GS POLYMERS INC.,RIVERSIDE,34.02105,-117.51522,2159.470263080401,Low Risk (>500m)
CHAMPIONX-BAKERSFIELD,KERN,35.31312,-119.07386,319.1607177016819,Medium Risk (101-500m)
RUMIANO CHEESE CO,DEL NORTE,41.75504,-124.20386,975.173016574286,Low Risk (>500m)
BJB ENTERPRISES INC,ORANGE,33.71458,-117.81104,1156.5758992982583,Low Risk (>500m)
CHEVRON RICHMOND TECHNOLOGY CENTER,CONTRA COSTA,37.93047,-122.38944,2458.9599075324386,Low Risk (>500m)
BLUESCOPE COATED PRODUCTS LLC,SAN BERNARDINO,34.088079,-117.58027,198.5065461002771,Medium Risk (101-500m)
US MARINE CORPS MCB CAMP PENDLETON,SAN DIEGO,33.30666,-117.3408,556.0704461322956,Low Risk (>500m)
SPECTRUM LABORATORY PRODUCTS INC.,LOS ANGELES,33.90014,-118.26859,2273.309780867152,Low Risk (>500m)
ORCHID MPS,ORANGE,33.72074,-117.9135,396.34435508556936,Medium Risk (101-500m)
CARLTON FORGE WORKS,LOS ANGELES,33.89479,-118.16474,1905.321106744637,Low Risk (>500m)
PACIFIC GALVANIZING INC.,ALAMEDA,37.766158,-122.217597,1693.495043796951,Low Risk (>500m)
CHEVRON PRODUCTS CO RICHMOND REFINERY,CONTRA COSTA,37.938779,-122.396453,1721.6142148528543,Low Risk (>500m)
CHEVRON PRODUCTS CO. DIV OF CHEVRON USA INC.,LOS ANGELES,33.916311,-118.427343,5710.475446576944,Low Risk (>500m)
BRENNTAG PACIFIC INC,LOS ANGELES,33.937333,-118.060278,1628.972704810393,Low Risk (>500m)
INEOS COMPOSITES US LLC,LOS ANGELES,33.983333,-118.133333,1609.2076389652452,Low Risk (>500m)
AGILENT TECHNOLOGIES INC,SACRAMENTO,38.652835,-121.186949,329.0331928521279,Medium Risk (101-500m)
ACTAGRO LLC,FRESNO,36.800833,-120.024444,780.6140807912475,Low Risk (>500m)
EQUILON SAN JOSE TERMINAL,SANTA CLARA,37.395171,-121.909701,277.6415941364736,Medium Risk (101-500m)
PINNACLE PREMIX,TULARE,36.351029,-119.367943,1900.4713101830948,Low Risk (>500m)
TELEDYNE DEFENSE ELECTRONICS LLC DBA TELEDYNE REYNOLDS,LOS ANGELES,33.853985,-118.296395,1355.4423609031835,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
CORTEVA AGRISCIENCE LLC,CONTRA COSTA,38.023129,-121.855352,957.8529212585684,Low Risk (>500m)
HOGAN MANUFACTURING INC LIFT-U DIV,SAN JOAQUIN,37.79562,-120.9927,2732.4930050394005,Low Risk (>500m)
HOLLIDAY ROCK-LONG BEACH,LOS ANGELES,33.87474,-118.1623,2571.3197533479943,Low Risk (>500m)
MOC PRODUCTS CO. INC,LOS ANGELES,34.25483,-118.40135,1030.911122089491,Low Risk (>500m)
SIERRA PACIFIC INDUSTRIES QUINCY DIV,PLUMAS,39.93909,-120.91127,405.9752282598502,Medium Risk (101-500m)
FARMDALE CREAMERY LLC,SAN BERNARDINO,34.12133,-117.307198,2389.272087246842,Low Risk (>500m)
HOWMET GLOBAL FASTENING SYSTEMS INC.,ORANGE,33.86417,-117.88946,683.5717141076495,Low Risk (>500m)
E & J GALLO WINERY,MERCED,37.381463,-120.805985,309.24646396813785,Medium Risk (101-500m)
MONOGRAM AEROSPACE FASTENERS,LOS ANGELES,33.98397,-118.14051,2038.8066740955007,Low Risk (>500m)
LACTALIS HERITAGE DAIRY INC.,TULARE,36.134132,-119.328971,280.6964551679093,Medium Risk (101-500m)
KAISER ALUMINUM FABRICATED PRODUCTS LLC,LOS ANGELES,33.98858,-118.14652,2262.695553063476,Low Risk (>500m)
CENTRAL WIRE,RIVERSIDE,33.75041,-117.23612,567.2206893721113,Low Risk (>500m)
U.S. DOD USAF TRAVIS AFB,SOLANO,38.283611,-121.950556,952.0182291577672,Low Risk (>500m)
J R SIMPLOT CO LATHROP,SAN JOAQUIN,37.807058,-121.277465,2992.355780495527,Low Risk (>500m)
U.S ARMY SIERRA ARMY DEPOT,LASSEN,40.135675,-120.16941,1490.4259295269896,Low Risk (>500m)
BRENNTAG PACIFIC INC,LOS ANGELES,33.937333,-118.060278,1628.972704810393,Low Risk (>500m)
TORRANCE REFINING CO LLC,LOS ANGELES,33.85828,-118.3369,2566.207435112675,Low Risk (>500m)
MORGAN TRUCK BODY LLC  MCA,RIVERSIDE,33.92521,-117.40596,549.0505076057879,Low Risk (>500m)
TRANSENE CO OAKLAND,ALAMEDA,37.763274,-122.205226,846.7248473641248,Low Risk (>500m)
CYTEC SOLVAY COMPOSITE MATERIALS  ANAHEIM,ORANGE,33.86194,-117.86123,286.10761626427825,Medium Risk (101-500m)
NATIONAL READY MIX CONCRETE CO .,LOS ANGELES,34.118747,-117.983375,1041.9362985756316,Low Risk (>500m)
BRENNTAG PACIFIC INC,LOS ANGELES,33.937333,-118.060278,1628.972704810393,Low Risk (>500m)
TESORO - VINVALE TERMINAL,LOS ANGELES,33.95277,-118.16408,469.7648240063036,Medium Risk (101-500m)
PHILLIPS 66 RODEO RENEWABLE ENERGY COMPLEX,CONTRA COSTA,38.0436,-122.2532,1354.1184714409135,Low Risk (>500m)
ROBERTSONS SAN JACINTO PLANT,RIVERSIDE,33.771412,-116.970683,3824.3647548910644,Low Risk (>500m)
NEW-INDY CONTAINERBOARD ONTARIO LLC,SAN BERNARDINO,34.04807,-117.5382,344.3038019730085,Medium Risk (101-500m)
NORTHGATE READY MIX,SONOMA,38.523547,-122.79085,729.7929197806798,Low Risk (>500m)
VULCAN MATERIALS CO NAPA QUARRY,NAPA,38.27009,-122.27199,1087.9375696526552,Low Risk (>500m)
TESORO REFINING & MARKETING CO LLC,CONTRA COSTA,38.030833,-122.075,221.9694029001237,Medium Risk (101-500m)
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,LOS ANGELES,33.765027,-118.277561,2719.6069019299584,Low Risk (>500m)
U.S ARMY SIERRA ARMY DEPOT,LASSEN,40.135675,-120.16941,1490.4259295269896,Low Risk (>500m)
PRC-DESOTO INTERNATIONAL INC.,KERN,34.9885,-118.15004,10065.745795702027,Low Risk (>500m)
TESORO EAST HYNES TERMINAL,LOS ANGELES,33.862483,-118.159907,3096.0908503585233,Low Risk (>500m)
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,SOLANO,38.074434,-122.144397,755.9604036794849,Low Risk (>500m)
HANSON-LORAN CO INC,ORANGE,33.86318,-118.01619,132.03529714546272,Medium Risk (101-500m)
NUCOR WAREHOUSE SYSTEMS,LOS ANGELES,34.00624,-118.2318,1167.3404486233003,Low Risk (>500m)
CHEVRON PRODUCTS CO. DIV OF CHEVRON USA INC.,LOS ANGELES,33.916311,-118.427343,5710.475446576944,Low Risk (>500m)
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,LOS ANGELES,33.815889,-118.243953,430.85042322614134,Medium Risk (101-500m)
PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT,LOS ANGELES,33.808333,-118.245833,1088.3033078561125,Low Risk (>500m)
HOWMET GLOBAL FASTENING SYSTEMS INC.,LOS ANGELES,34.02877,-117.96383,455.3915567432002,Medium Risk (101-500m)
